# Spare pre-launch seed topics
#
# Format: window <TAB> title <TAB> hook. Lines beginning with # are
# comments, and a comment naming a category applies to everything under it
# until the next one. Read this before running the seed: these 150 subjects
# are the first thing a day-one reader sees, and generating them costs real
# money. Delete, rewrite or reorder freely -- the tool reads whatever is here.
#

# History
three	The word that means its own opposite	Cleave, sanction, dust: English contradicts itself on purpose.
three	Why you say big red barn	Adjective order is a rule you follow and were never taught.
seven	How lost writing systems were deciphered	Linear B, Maya glyphs, and the ones still unread.
seven	The language with no word for left	Some speakers give directions by compass, indoors, in the dark.
seven	Why English spelling is like that	A printing press, a vowel shift, and terrible timing.
three	Why babies babble the same everywhere	The sounds narrow to a language later than you would think.

# Mathematics
three	Why a shuffled deck is new	That order has almost certainly never existed before.
three	The birthday coincidence	Twenty-three people, and a better than even chance.
seven	The mathematics of juggling	Siteswap notation turned a circus trick into number theory.
seven	How to be sure without checking	A proof is a promise about infinitely many cases at once.
seven	The map colouring nobody could prove	Four colours, a century of failure, and the first computer proof.
three	Why zero took so long	A symbol for nothing was a genuinely hard idea.

# Engineering
three	Why bridges hum	Wind makes steel sing, and engineers tune it out on purpose.
three	Why tunnels are dug from both ends	Meeting in the middle is a surveying problem, not a digging one.
three	Why runways get renumbered	Magnetic north drifts, and the paint has to follow it.
seven	How electricity grids stay balanced	Supply must equal demand every second, forever, with no storage.
seven	Why planes are safe	Every rule was written after a crash; the system learns better than people.
seven	The lift that made the skyscraper	Otis did not invent the lift. He invented not falling.

# Medicine
three	Why paper cuts hurt so much	A shallow wound the body treats as an emergency.
three	The anaesthetic nobody can explain	We have used it for a century without knowing how it works.
seven	How handwashing was resisted	Semmelweis was right, provably, and it ended his career.
seven	Why placebos still work when disclosed	Told it is a sugar pill, and it helps anyway.
seven	The trial design that changed medicine	Randomisation is a nineteenth-century idea with a body count before it.
three	Why fever is on your side	Suppressing it is a comfort decision, not always a medical one.

# Art History
three	The pigment that poisoned painters	A green so good it was worth the arsenic.
three	Why old paintings are cracked	The craquelure is a clock, and forgers cannot fake it easily.
seven	How perspective was invented, once	Linear perspective has a date, a city, and an inventor.
seven	The restoration that started a war	Cleaning the Sistine ceiling revealed colours nobody believed.
seven	Why so much sculpture is white	It was painted. Vividly. We inherited the bleached version.
three	The forger who signed his work	Van Meegeren proved his innocence by proving a worse crime.

# Anthropology
three	The handshake is not universal	Greeting rituals differ so much that neutrality is impossible.
three	Why we cook	No other animal does it, and our jaws show the consequence.
seven	How agriculture made people shorter	Skeletons record a trade: more calories, worse nutrition, denser settlement.
seven	The gift that must be repaid	Reciprocity is an obligation with rules, not a kindness.
seven	Why every culture has music	It is older than agriculture and possibly older than language.
three	Why nobody agrees on spice tolerance	Capsaicin sensitivity is partly learned and partly inherited.

# Politics
three	The vote that cannot be fair	Arrow proved no ranking system satisfies every reasonable condition.
three	Why ballots are secret	It was controversial, and the argument against it was not stupid.
seven	How gerrymandering is measured	The efficiency gap turned a smell test into arithmetic.
seven	The census as an instrument of power	Who is counted, and how, decides more than any single election.
seven	Why coalitions form the way they do	Party arithmetic follows rules that were worked out on paper.
three	Why turnout is measured wrongly	Of registered voters, or of adults? The gap is enormous.

# Food & Cooking
three	Why bread goes stale in the fridge	Not drying out. Starch retrogradation, and it is reversible.
three	The reaction that browns everything	Maillard is not caramelisation, and the difference is the flavour.
three	Why you salt pasta water	Not for the boiling point. The number is trivial.
seven	How pasteurisation was resisted	Milk safety was a political fight before it was a public good.
seven	Why chillies evolved to burn	The heat is aimed at mammals, and birds are exempt on purpose.
seven	The spice trade's real cargo	Preservation is the myth. Status was the business.
seven	Why fermentation was safety before flavour	Preservation came first; taste is what we kept it for.

# Law
three	Why contracts need consideration	A promise alone is not enough, and the reason is old.
three	The right to remain silent, before Miranda	It existed, and almost nobody knew it did.
seven	How precedent actually binds	Judges distinguish more often than they overrule, and that is the mechanism.
seven	The patent that was sold for a dollar	Deliberate under-pricing as a strategy, and what it cost later.
seven	Why juries decide facts, not law	A division of labour with a violent history behind it.
three	Why courtrooms have a bar	A literal wooden rail that named an entire profession.

# Technology
three	Why passwords have those rules	Most of the advice was one man's guess, and he regrets it.
three	The bug named after a moth	A real insect, a real logbook, and a misremembered origin.
seven	How undersea cables carry everything	Ninety-nine per cent of intercontinental traffic, in pipes on the seabed.
seven	Why software estimates are always wrong	The bias is structural, measurable, and survives every attempt to fix it.
seven	The compression that throws away sound	MP3 works by modelling what you cannot hear.
three	Why files have extensions	A three-letter limit from the 1970s still shapes your desktop.

# Nature
three	Why leaves change colour	The yellow was there all along, hidden under the green.
three	The tree that is one organism	A forest of aspens sharing a single root system.
three	Why flamingos are pink	Diet, not pigment, and a captive flock fades without help.
seven	How migrating birds navigate	Magnetism, stars, and smell, layered as redundant systems.
seven	Why forests need fire	Suppression made the fires worse, and the seeds needed the heat.
seven	The fungus that connects a wood	Trees trade sugar through a network they do not control.
three	Why deserts get cold at night	No water vapour to hold the day's heat.
